Module                  Size  Used by
int340x_thermal_zone    20480  2 int3403_thermal,processor_thermal_device
int3400_thermal        20480  0
intel_pch_thermal      20480  0
acpi_thermal_rel       16384  1 int3400_thermal
platform_profile       16384  1 thinkpad_acpi
acpi_pad              184320  0
sch_fq_codel           24576  3
msr                    16384  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                69632  3 parport_pc,lp,ppdev
drm                   618496  6 drm_kms_helper,i915,ttm
pstore_blk             16384  0
efi_pstore             16384  0
ramoops                28672  0
reed_solomon           28672  1 ramoops
pstore_zone            32768  1 pstore_blk
ip_tables              32768  0
x_tables               53248  1 ip_tables
autofs4                49152  2
hid_generic            16384  0
usbhid                 65536  0
hid                   147456  2 usbhid,hid_generic
crc32_pclmul           16384  0
psmouse               176128  0
i2c_i801               36864  0
i2c_smbus              20480  1 i2c_i801
e1000e                286720  0
ahci                   49152  2
intel_lpss_pci         24576  0
xhci_pci               24576  0
sdhci_pci              69632  0
intel_lpss             16384  1 intel_lpss_pci
cqhci                  36864  1 sdhci_pci
sdhci                  81920  1 sdhci_pci
libahci                49152  1 ahci
xhci_pci_renesas       20480  1 xhci_pci
idma64                 20480  0
wmi                    32768  3 intel_wmi_thunderbolt,wmi_bmof,think_lmi
video                  61440  2 thinkpad_acpi,i915
pinctrl_cannonlake     36864  0
